"id","name","full_name","created_at","last_modified_at","basic_department_id"
1,"УПиР","Управление проектирование и реконструкции","2021-10-31","2021-10-31","null"
2,"БМП","Бюро метизного производства","2021-10-31","2021-10-31","1"
3,"ЭнБ","Энергетическое бюро","2021-10-31","2021-10-31","1"
4,"ЭТБ","Электротехническое бюро","2021-10-31","2021-10-31","1"
5,"СO","Строительный отдел","2021-10-31","2021-10-31","1"
6,"АСБ","Архитектурно-строительное бюро","2021-10-31","2021-10-31","5"
7,"БМК","Бюро металлоконструкций","2021-10-31","2021-10-31","5"
8,"ПТБ","Проектно-технологическое бюро","2021-10-31","2021-10-31","1"
9,"СмБ","Сметное бюро","2021-10-31","2021-10-31","1"
10,"ОСП","Отдел сопровождения проектов","2021-10-31","2021-10-31","1"
11,"БНК","Бюро нормоконтроля","2021-10-31","2021-10-31","10"
12,"Архив","Архив","2021-10-31","2021-10-31","10"
